Key	English	Welsh	Comments
page.tcs.children.changeachildname.do-you-need-change-name.line3	need to fix a spelling mistake		No Welsh translation found
page.tcs.renewals.changes_other.prison.li1	prison or institution names		No Welsh translation found
page.tcs.Addchildcare.not-suitable-no-eligible-not-approved.line1	You said the childcare provider is not approved.		No Welsh translation found
page.tcs.workandhours.startajobemployed.receivingWTC	Do you already get Working Tax Credit?		No Welsh translation found
page.tcs.workandhours.howmanyhours.partner.help	How to work out their normal hours		No Welsh translation found
page.tcs.children.add-a-child.is-the-course-a-part-of-their-job.title	{0} the course {1} part of {2}’s job?		No Welsh translation found
dashboard.viewchangedetails.jobsandincome.you.information	This information is for {0} to {1}.		No Welsh translation found
dashboard.viewchangedetails.you.change_name	Change your name		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.NOTSTARTED	It is time to renew your tax credits		No Welsh translation found
page.tcs.addchildcare.childcare-how-often-you-pay.error-empty	Select how often you pay {0}		No Welsh translation found
page.tcs.children.changeachilddob.firstname.error	Enter the child’s first and middle names		No Welsh translation found
page.tcs.children.removeachild.reasonforleaving.hint	This may be, for example, because they moved out, were taken into care, were sent to prison for over 4 months, they started working or claiming benefits.		No Welsh translation found
page.tcs.workandhours.deductions.maternityAmount.helptext2	You can enter up to &pound;3,900		No Welsh translation found
page.tcs.personal.changerelationship.joint.dateofrelationshipchange	Date you separated from your partner		No Welsh translation found
page.tcs.renewals.changes_other.stopped.li6	Employment and Support Allowance (contributions-based)		No Welsh translation found
page.tcs.workandhours.startajobhavepartnerbenefitsended.benefits.mig	Has {0}’s Pension Credit ended or is it expected to end?		No Welsh translation found
page.tcs.personal.no_change_relationship.p1	You must change your relationship status if you and your partner start to live together.		No Welsh translation found
dashboard.viewchangedetails.you.employment.employedearnings.label	Estimated annual employed earnings		No Welsh translation found
page.tcs.childcare.remove.title.another	Are there other childcare providers you stopped using?		No Welsh translation found
page.tcs.personal.addresschange.address.line2.empty	Enter address line 2		No Welsh translation found
page.tcs.workandhours.all-income-summary.title	Check your estimated amounts for {0} to {1}		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.partner.edit_link_hidden_text	 how many self-employed hours a week {0} normally works		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.multiple-next-payments	Next {0} payments		No Welsh translation found
page.tcs.children.add-a-child.clwy.li1	all the time		No Welsh translation found
page.tcs.workandhours.endedajob.you.editHowManyJobsYouHaveNow	how many jobs you have now		No Welsh translation found
page.tcs.personal.contact_tax_credit_helpline.p3	You will be able to make a new claim, but you may need to end your claim with {0}.		No Welsh translation found
page.tcs.workandhours.startajobhadotherpreviousjobs.partner.title	Not including {1}’s new job, have they had any other jobs since <span class="one-liner">{0}</span>?		No Welsh translation found
page.tcs.workandhours.selfemployedworkenddate.dateInFuture	Enter a date that is today or in the past		No Welsh translation found
page.tcs.children.childDisability.no-change-gets-pip-no-enhanced-pip-no-change.p1	You said {0} gets, or would get, Personal Independence Payment but does not get the enhanced rate of Personal Independence Payment’s daily living component.		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.amountPaid.hint	Do not take off tax or National Insurance.		No Welsh translation found
page.tcs.workandhours.deductions.partner.sharedParentalAmount.helptext2	For example, if they expect to get &pound;139 for 10 weeks, enter &pound;1,000.		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.changedisabilitystartdate.future	The date they were registered as disabled must be in the past		No Welsh translation found
page.tcs.cannot-confirm-identity.header	 Unable to confirm identity		No Welsh translation found
page.tcs.continuing-with-training-course.onlyOneCourseRequired	Do not enter details in the box if making a selection for What are they doing		No Welsh translation found
page.tcs.workandhours.previousjobsendedcontext.selfemployed.intro.p2.partner	The money {0} earned is not part of their estimated self&#8209;employed profit between {1} and {2}.		No Welsh translation found
page.tcs.children.add-a-child.when-did-child-leave-course-no-date-error	Enter the date {0} left their course		No Welsh translation found
page.tcs.workandhours.startjobdate.partner.p1	Only tell us about this work if:		No Welsh translation found
page.tcs.changes_other.stopped.li7	Employment and Support Allowance (income-related)		No Welsh translation found
page.tcs.children.add-a-child.header	What is their name?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.amountPaid.week.label	How much did you get paid a week?		No Welsh translation found
dashboard.viewchangedetails.you.employment.numberofhours.label	Hours worked a week		No Welsh translation found
page.renewals.renewals_homepage.employment.change_end_job.partner	Your partner ended a job		No Welsh translation found
page.tcs.personal.changename.edit	your name		No Welsh translation found
page.tcs.personal.changeUKAddress.postcode	Enter your postcode		No Welsh translation found
page.tcs.workandhours.startajobemployed.summary.change-this	Edit these job details		No Welsh translation found
page.questionnaire.dissatisfied	Dissatisfied		No Welsh translation found
dashboard.viewchangedetails.yourpartner.edit-link	Your partner’s details		No Welsh translation found
page.tcs.children.add-a-child.dyrm-error	Select yes if you get money from your local council for {0}		No Welsh translation found
page.tcs.workandhours.employer_details.postcode-invalid	Enter a valid postcode, like AA9 9AA		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.amounPaid.value	{0} {1}		No Welsh translation found
page.tcs.workandhours.startajobemployed.textbox_label	New job details		No Welsh translation found
page.renewals.renewals_homepage.childcare.description	Update childcare costs, add childcare providers		No Welsh translation found
page.tcs.workandhours.changenumberofhours.numberofhours.error	Your entry for number of hours worked must be between 1 and 99		No Welsh translation found
page.tcs.online-service-unavailable.p2	If you need to tell us about a change of circumstances, then call the		No Welsh translation found
page.renewals.renewals_homepage.employment.heading	Work and hours		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.AUTONOTSTARTED	You must check your declarations by <span class="no-wrap">31 July {0}.</span>		No Welsh translation found
error.invalid.date.format	Enter a valid date		No Welsh translation found
page.tcs.children.add-a-child.ineligible.19.p1	 You said {0} accepted a place on the course on or after their 19th birthday.		No Welsh translation found
page.tcs.workandhours.previousworkenddate.blank	Enter the date your previous job ended		No Welsh translation found
page.tcs.personal.enter.housename.valid.character	House name or number must only include letters a to z, numbers 0 to 9, spaces, commas, full stops, - ’ & and ( )		No Welsh translation found
page.tcs.workandhours.employed-summary.partner.type	Employed		No Welsh translation found
page.tcs.childcare.childDisability.date_stopped_being_blind	Date child stopped being certified blind		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.add_child	You added a child		No Welsh translation found
page.tcs.fallout.user-abort.title	You have not provided enough information		No Welsh translation found
page.tcs.workandhours.deductions.partner.calculatedAmount	For this tax year take off		No Welsh translation found
page.tcs.children.disability.ever-been-certified-blind.yes-or-no.error-empty	Select yes if {0} used to be certified blind		No Welsh translation found
page.tcs.personal.enter.address.character.limit	Address line {0} must be 35 characters or less		No Welsh translation found
page.tcs.workandhours.employer_details.address.helptext	Employer’s address		No Welsh translation found
page.tcs.childcare.changechildcare.do-you-still-pay-with-own-money.h1	Do you still pay {0} with your own money?		No Welsh translation found
page.tcs.children.add-a-child.confirm-end-education-answers-when-did-child-leave-course-accessibility	when {0} left their course		No Welsh translation found
page.tcs.workandhours.alljobs.intro.partner.b1	the job already on your claim		No Welsh translation found
page.tcs.children.changeachildname.summary.change-this	Edit child’s name		No Welsh translation found
page.tcs.workandhours.previousjobs.intro.p1	We need to ask about all jobs you have had since {0} so we can estimate your earnings and <span class="one-liner">self-employed</span> profit.		No Welsh translation found
page.tcs.childcare.confirm-your-answers.is-the-childcare-provider-approved	Is the childcare provider approved?		No Welsh translation found
page.tcs.personal.has_relationship_changed.list_tem3	You will have to make a new claim for tax credits		No Welsh translation found
page.tcs.workandhours.startajobhavepartnerbenefitsended.benefits.is	Has {0}’s Income Support ended or is it expected to end?		No Welsh translation found
page.tcs.personal.change_telephone_number.evening_telephone_number	Telephone number 2 (optional)		No Welsh translation found
page.tcs.children.add-a-child.confirm-end-education-answers-benefits-accessibility	 if {0} gets any of these benefits		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.firstname.error	Enter the child’s first and middle names		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare-partner-no-wtc.title	You cannot add a childcare provider to your claim		No Welsh translation found
page.tcs.cannot_use_tax_credits_service.title	You do not get tax credits		No Welsh translation found
page.renewals.renewals_homepage.your_details.change_address	Change your address		No Welsh translation found
page.tcs.children.changeachilddob.header	What is {0}’s date of birth?		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.estimatedMethod.required	Select if you want to base {0}’s estimate on how much they earn an hour, week, month or year		No Welsh translation found
firstName.fieldLabelNew	first and middle names		No Welsh translation found
page.tcs.children.add-a-child.ringus.intend_to_stay_school.h1	You cannot use the online service to add {0} to your claim		No Welsh translation found
page.tcs.changes_other.stopped.li8	Incapacity Benefit		No Welsh translation found
page.tcs.children.add-a-child.did-child-have-illness-that-stopped-starting-course.error	Select yes if {0} had an illness or disability that stopped them from starting the course sooner		No Welsh translation found
page.tcs.children.add-a-child.edit-did-child-accept-place-on-course-before-19	if {0} accepted a place on the course before {1}		No Welsh translation found
page.tcs.workandhours.howmanyhours.employed.p2	You must enter whole hours only. For example, if you normally work 22.5 hours a week, enter 22.		No Welsh translation found
page.children.landing.education.h1	Child who is continuing in approved education from <span class="no-wrap">31 August {0}</span>		No Welsh translation found
page.tcs.renewals.changes_other.prison	Enter details about your, or your partner’s, prison, prisoner number and sentence		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.other_prison	You were sent to prison		No Welsh translation found
page.tcs.children.changeachildname.lastname-help-text	The child’s last name should be as it is shown on their birth certificate.		No Welsh translation found
page.tcs.workandhours.changeworkinghours.amount.p4	You must include regular overtime but not unpaid breaks and enter hours only. For example, if you normally work between 22 and 23 hours a week, enter 22.		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.end_a_job_employed_you	You ended a job		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.edit-previous-calculated-earnings	how much you got paid at {0}		No Welsh translation found
page.renewals.renewals_homepage.your_details.change_name.partner	Change your partner’s name		No Welsh translation found
page.tcs.workandhours.changenumberofjobs.numberofjobs.error	Your entry for total number of jobs must be between 0 and 9		No Welsh translation found
page.tcs.fallout.iv-identity-failure-dropout.p1	The details you have given do not match our records.		No Welsh translation found
page.tcs.personal.your.address.addressLine5.helptext	Address line 5 (optional)		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p1.FINALISED	You will get an award notice in the next 2 weeks.		No Welsh translation found
page.tcs.start.beforeInfo.p2	 You will need your National Insurance number.		No Welsh translation found
page.tcs.workandhours.employer_name.current_job.edit_link_hidden_text	 the name of the employer already on your claim		No Welsh translation found
page.tcs.workandhours.amendajob.you.jobStartedDate.errorFutureDate	Enter a date that is today or in the past when your working hours changed		No Welsh translation found
page.tcs.workandhours.employer_details.partner.service_header	What is the name and address of {0}’s new employer?		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.connexions_change	You told us a child started or left careers service or Connexions		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.partner.previousNumberOfHours	How many hours a week did {0} normally work at {1}?		No Welsh translation found
page.tcs.online-service-unavailable.title	You cannot use this service		No Welsh translation found
page.tcs.renewals.changes_other.stopped.li4	Carer’s Allowance		No Welsh translation found
site.summary.submit.partner	Continue to your partner’s details		No Welsh translation found
page.tcs.children.add-a-child.does-child-study-approved-course.li3	level 1 to 3 vocational qualifications like BTECs, NVQs and SVQs		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.FINALISED	You can complete any of your declarations again until<br/> <span class="no-break">31 July {0}</span>, if you think you have made a mistake.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.changeYourEstimate.link	 Change {0}’s estimate		No Welsh translation found
page.tcs.ctc.payments.ga.one-off-payment-event-category-view	Accordion - hide		No Welsh translation found
page.tcs.children.add-a-child.is-the-course-a-part-of-their-job.error	Select yes if the course {0} part of {1}’s job		No Welsh translation found
page.tcs.workandhours.current_job.summary_heading	Job already on your claim		No Welsh translation found
lastName.fieldLabel	last name		No Welsh translation found
page.tcs.children.add-a-child.edit-will-child-do-an-approved-training-course	if {0} will do an approved training course		No Welsh translation found
dashboard.bank-details.button	Change your bank details		No Welsh translation found
page.tcs.cannot_use_tax_credits_service.p4	Call the <a href={0}>Tax Credits Helpline</a> to talk about your claim.		No Welsh translation found
page.tcs.wtc.ctc-payments.ga.link-click	link - click		No Welsh translation found
page.tcs.workandhours.self-employed-summary.previous.previousEstimatedEarningsAllJobsPartner	{0}’s estimated earnings from all jobs		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.lastname-help	The child’s last name should be as it is shown on their birth certificate.		No Welsh translation found
page.questionnaire.neither_satisfied_or_dissatisfied	Neither satisfied nor dissatisfied		No Welsh translation found
page.tcs.children.education.firstname	What are their first and middle names?		No Welsh translation found
page.tcs.childcare.how.much.cost.change.title.help	This will be rounded up to the nearest pound to make sure you get the right amount of tax credits. For example, £150.25 will be rounded up to £151.		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.radioAnnually	Year		No Welsh translation found
page.tcs.children.add-a-child.will-child-do-an-approved-training-course-l2	Employability Fund programmes in Scotland		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.helptext	If your hours change every week, enter the number of hours you normally worked.		No Welsh translation found
page.renewals.renewals_homepage.change_received	change received		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.ftnae.sept.p3	If you have not already told us, you must		No Welsh translation found
page.tcs.children.removeachild.leaveclaimdate.invalid	Enter the date you want the child to be removed from your claim		No Welsh translation found
page.tcs.renewals.changes_other.prison.li2	prisoner numbers		No Welsh translation found
page.tcs.childcare.summary.check-your-change-add-childcare-summary.page.name	Name		No Welsh translation found
page.tcs.changes_other.stopped.p1.joint	Tell us which of these benefits you, your partner, or both of you stopped getting and when you stopped getting them.		No Welsh translation found
page.tcs.childcare.stopped.childcare.summary.table1	Do you have children in childcare?		No Welsh translation found
page.renewals.make_more_changes.partsingleD	Part 3:		No Welsh translation found
dashboard.your-tax-credits.renewal-status.multi.p3.PROCESSING	You can complete any of your declarations again until<br/> <span class="no-break">31 July {0}</span>, if you think you have made a mistake.		No Welsh translation found
page.tcs.workandhours.typeofwork.last_job.partner.header	In {0}’s last job, were they employed or <span class="one-liner">self-employed?</span>		No Welsh translation found
page.tcs.children.add-a-child.lived-with-you-from-birth.h1	Has {0} lived with you since they were born?		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.estimateCalc	Estimated calculation		No Welsh translation found
page.tcs.personal.your.address.addressLine4.helptext	Address line 4 (optional)		No Welsh translation found
page.tcs.children.education.supervisedformorethan12hours.mustbeyes	To qualify for tax credits, the young person must be taught or supervised for more than 12 hours each week		No Welsh translation found
page.tcs.childcare.children-names-and-dobs.title	Which children do they care for?		No Welsh translation found
page.tcs.workandhours.hasmadeprofit.partner.edit_link_hidden_text	 does {0} expect to make a profit between {1} and {2}		No Welsh translation found
page.tcs.childcare.changechildcare.cannot-change-a-childcare.submit	Go to children and childcare		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.summary.change-this	Edit these job details		No Welsh translation found
page.tcs.workandhours.typeofwork.last_job.noneSelected	Select if you were employed or self-employed in your last job		No Welsh translation found
page.tcs.workandhours.earnings_calculator.previous.partner.estimatedMethod.required	Select if you want to base {0}’s estimate on the amount they earned an hour, week, month or year		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.service_header	Estimated earnings from {0}		No Welsh translation found
dashboard.payment-summary.view.button	View your payments		No Welsh translation found
page.tcs.workandhours.deductions.flatRateExpenses	Buy or repair special clothing or tools needed for your job		No Welsh translation found
page.renewals.renewals_homepage.bank_details.description	Change where your tax credits payments are paid		No Welsh translation found
page.tcs.workandhours.isthispermanentwork.expectedEndDate.notRequired	No date required		No Welsh translation found
page.tcs.renewals.changes_other.stopped.li9	Income Support		No Welsh translation found
page.tcs.children.add-a-child.confirm-answers.receive-disability	Does {0} get one of these disability benefits?		No Welsh translation found
page.tcs.change.childcare-summary.change-date-hidden	 when you did or will change what you pay {0}		No Welsh translation found
page.tcs.children.add-a-child.lived-with-you-from-birth.p1	Any time {0} spent in hospital immediately after they were born can be counted as living with you.		No Welsh translation found
page.tcs.reportdeath.nmvp.dateofdeath	When did they die?		No Welsh translation found
page.renewals.renewals_homepage.single.h1.no_dates	Report changes to your personal circumstances during your award period		No Welsh translation found
page.tcs.reportdeath.nmvp.service_title	Tell us someone from your claim has died		No Welsh translation found
page.tcs.workandhours.changeworkinghours.partner.amount.title	How many hours a week does your partner work in all jobs?		No Welsh translation found
page.tcs.children.add-a-child.did-child-start-getting-benefits-before-left-course.title	Benefits before left course		No Welsh translation found
page.tcs.workandhours.deductions.statutoryAdoptionAmount.helptext1	You can take off up to &pound;100 a week.		No Welsh translation found
page.tcs.workandhours.previous_employer_name.last_job.partner.service_header	What was the name of {0}’s last employer?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.title.FINALISEDNORESUBMIT	We have finished processing your renewal		No Welsh translation found
page.tcs.award_not_affected_acknowledgement.p3	This can take up to 4 weeks.		No Welsh translation found
page.tcs.workandhours.endedajob.employerName.length	The name of your employer must be between 2 and 56 characters		No Welsh translation found
page.tcs.continuing-with-training-course.courseRequired	Select the training they will be doing		No Welsh translation found
page.questionnaire.was_your_information_correct	Was your information correct?		No Welsh translation found
page.tcs.workandhours.changeworkinghours.partner.amount.b1	For seasonal workers enter the number of hours they work at the moment.		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.validation	How many hours a week you worked must be between 1 and 99		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.not-suitable-joint-claim.line2	in hospital		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-normally-you-pay.h1	How much do you normally pay {0} {1}?		No Welsh translation found
page.tcs.workandhours.typeofwork.partner.header	In {0}’s new job, are they employed or <span class="one-liner">self-employed?</span>		No Welsh translation found
page.tcs.workandhours.employed-summary.previous.employed_earnings_partner	Estimated earnings from {1}		No Welsh translation found
page.tcs.children.add-a-child.child.will.be.on.your.claim.until.31.august.p3	You do not have to tell us if {0} is going to do either of these now. You can tell us any time before 31&nbsp;August&nbsp;{1}.		No Welsh translation found
page.tcs.changes_other.stopped.li11	Jobseeker’s Allowance (income-based)		No Welsh translation found
page.tcs.childcare.changechildcare.childcare-summary.how-many-times	How many times a year do you pay {0} {1}?		No Welsh translation found
page.tcs.children.changeachildname.changeerrortext	Enter the child’s new name		No Welsh translation found
page.tcs.personal.has_relationship_changed.link.aria-label	call the tax credit helpline (opens in a new window or tab)		No Welsh translation found
page.tcs.no_tax_credits_service.existing_user_h2	If you think that you do get tax credits		No Welsh translation found
page.renewals.make_more_changes.partsingleD2	Part 5:		No Welsh translation found
page.tcs.workandhours.startajob.jobToLastMoreThanFourWeek-no	Only tell us about paid work if you expect it to last at least 4 weeks		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.not-suitable-no-eligible-children.line2	receives Personal Independence Payment or Armed Forces Independence Payment		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.p2	Enter how many hours they worked each week during the term.		No Welsh translation found
page.tcs.childcare.provider-summary-text.add-providers-count	use {0} childcare providers		No Welsh translation found
page.renewals.renewals_homepage.pending_changes_banner.change_types.continuing_with_training	You told us a child is continuing with training		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.radioWeekly	Week		No Welsh translation found
page.tcs.workandhours.startajobemployed.you.totalWeeklyHours	After starting this job, how many hours did you work a week in all jobs including self-employment?		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.amounPaid.label	Amount {0} got paid		No Welsh translation found
page.tcs.children.connexionschange.datetheyleft	When did they leave education or training?		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.partner.weeksBetween.value	{0}		No Welsh translation found
page.changeworkinghours.cantcontinue.text.b5	have been laid off for longer than 4 weeks		No Welsh translation found
page.tcs.children.add-a-child.dyrm.p1	In Northern Ireland, the money would be from your local Health and Social Care Trust.		No Welsh translation found
page.tcs.children.add-a-child.ineligible.location-p2	 You can only add a child to your claim if they live in the UK or one of the listed countries.		No Welsh translation found
page.children.landing.education.title	Child who is continuing in approved education from 31 August {0}		No Welsh translation found
page.tcs.addchildcare.how-much.error-invalid-date	Enter a valid start date		No Welsh translation found
page.tcs.children.add-a-child.ineligible.h1	You cannot add {0} to your claim		No Welsh translation found
page.tcs.addchildcare.when-start-paying.h1	When did or will you start paying your childcare provider?		No Welsh translation found
page.tcs.children.add-a-child.ineligible.payment-p2	 You can only add a child to your claim if you do not get "any other money" from your local council.		No Welsh translation found
page.tcs.children.changeachilddisabilitystatus.lastname	What is their last name?		No Welsh translation found
page.tcs.workandhours.howmanyhours.blank.selfemployed	Enter how many self&#8209;employed hours a week you normally work		No Welsh translation found
page.tcs.children.changeachildwherelive.hospital	Hospital or residential accommodation because of health reasons		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.multiple.ftnae.p3	If you have not already let us know if your children are staying in education or training,		No Welsh translation found
page.tcs.workandhours.amendajob.partner.totalWeeklyHours.errorEmpty	Enter how many hours your partner worked in a week in all jobs including self-employment		No Welsh translation found
page.tcs.children.add-a-child.has-child-applied-to-the-army.p1	The armed forces is the British Army, Royal Air Force, Royal Marines and Royal Navy.		No Welsh translation found
page.children.cannot-change.p1	You said {0}:		No Welsh translation found
page.tcs.addchildcare.changeachildname.lastname-journey-invalidLength	Last name must be 35 characters or less		No Welsh translation found
dashboard.your-tax-credits.renewal-status.p1.COMPLETE	We received your declaration on {0}.		No Welsh translation found
page.tcs.workandhours.startajobhadotherpreviousjobs.partner.pageTitle	Not including your partner’s new job, have they had any other jobs since {0}?		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.PROCESSING.multi	Check your declarations		No Welsh translation found
page.tcs.workandhours.previous-employment-summary.edit-previous-manual-earnings	How much do you estimate you will earn at {0}?		No Welsh translation found
dashboard.viewchangedetails.you.employment.changejob	Change job		No Welsh translation found
page.tcs.workandhours.startajobhavepartnerbenefitsended.partner.benefits.is	Has {0}’s Income Support ended or is it expected to end?		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.one-off-payment	One-off payment		No Welsh translation found
page.tcs.workandhours.startajobemployed.jobToLastMoreThanFourWeek-no	The job must be expected to last at least 4 weeks to be considered for tax credits.		No Welsh translation found
page.tcs.workandhours.startajobselfemployed.jobStartedDate.futureDate	Enter a date that is today or in the past		No Welsh translation found
page.tcs.change.childcare-summary-average-cost-change	Has what you pay your childcare providers with your own money changed by £10 or more a week?		No Welsh translation found
page.renewals.renewals_homepage.employment.change_start_selfemployed_work.partner	Your partner started self-employed work		No Welsh translation found
page.tcs.workandhours.howmanyhours.selfemployed.p6	Enter how many hours you expect to work each week. After 4 weeks you will know your normal hours and can update this.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.previous.partner.calculatedEstimatedEarnings.value	{0}		No Welsh translation found
page.tcs.children.add-a-child.does-everyone-live-in-the-uk.p1	The UK is England, Northern Ireland, Scotland and Wales.		No Welsh translation found
page.tcs.children.connexionschange.firstname-help-text	The child’s first and middle names should be as they are shown on their birth certificate.		No Welsh translation found
page.tcs.does-child-get-benefits.header	Does {0} get any of these benefits?		No Welsh translation found
page.questionnaire.limit_is_1200_characters	(Limit is 1200 characters)		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.service_title	Estimated earnings		No Welsh translation found
page.tcs.addchildcare.childcare-how-much-you-pay-different.p2	Do not include childcare vouchers or any money that is paid directly to your childcare provider by someone else.		No Welsh translation found
page.tcs.workandhours.profitmade.partner.title	How much self-employed profit does your partner expect to make between {1} and {2}?		No Welsh translation found
page.tcs.childcare.confirm-your-answers.how-much-do-you-normally-pay-edit	how much you pay {0} {1}		No Welsh translation found
page.tcs.workandhours.self-employed-summary.currentSelfEmployedJobs	Self&#8209;employed job already on your claim		No Welsh translation found
page.tcs.changes_other.stopped.li4	Carer’s Allowance		No Welsh translation found
dashboard.viewchangedetails.jobsandincome.numberofhours.edit	Change {0}’s working hours		No Welsh translation found
page.tcs.workandhours.earnings_calculator.partner.amountPaid.invalid	How much {0} gets paid must be an amount of money		No Welsh translation found
page.tcs.workandhours.startajob.employerAddress	Employer address		No Welsh translation found
page.tcs.workandhours.change-to-partner-employment.title	What changes do you need to tell us?		No Welsh translation found
page.tcs.workandhours.startajob.you.p1	You can only tell us about a job that has already started.		No Welsh translation found
page.tcs.children.add-a-child.ineligible.courseInFuture.illness.p1	You said:		No Welsh translation found
page.tcs.changes_other.overseas.li3	went abroad for more than 8 weeks		No Welsh translation found
page.tcs.childcare.provider.details.name.helptext	What is the name of the provider?		No Welsh translation found
page.tcs.Addchildcare.cannot-add-a-childcare.phone.link	Phone the Tax Credit Helpline (opens in a new window or tab)		No Welsh translation found
page.tcs.workandhours.changeworkinghours.effectivefrom.vh	Edit when your hours changed		No Welsh translation found
page.tcs.workandhours.howmanyhours.service_title	How many hours a week do you normally work?		No Welsh translation found
page.tcs.renewals.other.changestitle	Your Changes		No Welsh translation found
change.your.name.bullet.2	changed it by deed poll		No Welsh translation found
page.tcs.workandhours.alljobs.intro.partner.title	Tell us about all your partner’s jobs		No Welsh translation found
page.tcs.workandhours.self-employed-summary.esimtatedSelfEmployedProfitPartner	{0}’s estimated self-employed profit		No Welsh translation found
dashboard.your-tax-credits.renewal-status.button.FINALISED.multi	Check your declarations		No Welsh translation found
page.tcs.personal.changename.firstname.alt	First name		No Welsh translation found
page.tcs.addchildcare.childcare-how-many-times-a-year-do-you-pay-different.error.invalid	The number of times you pay {0} a year, including how many times you pay them {1}, must be {2} or less because you pay them {3}		No Welsh translation found
page.tcs.workandhours.deductions.partner.statutoryAdoptionAmount.helptext2	For example, if they got &pound;139 for 10 weeks, enter &pound;1,000.		No Welsh translation found
page.tcs.children.add-a-child.education-and-training.title	Over 16s: education and training changes		No Welsh translation found
page.tcs.childcare.provider.name.error-empty	Enter the provider’s name		No Welsh translation found
page.tcs.Addchildcare.not-suitable-no-eligible-children.p1	You do not have any eligible children on your claim.		No Welsh translation found
page.tcs.workandhours.manual_estimated_earnings.service_header	Estimated earnings from {0}		No Welsh translation found
page.tcs.workandhours.employer_name.current_job.partner.invalid	Name of {0}’s employer already on your claim must only include letters a to z, spaces, commas, full stops, hyphens, apostrophes, ampersands (&) and round brackets		No Welsh translation found
page.tcs.does-child-get-benefits.li2	income-based Jobseeker’s Allowance		No Welsh translation found
dashboard.your-tax-credits.renewal-status.p3.GENERIC	You must renew your tax credits by <span class="no-wrap">31 July {0}.</span>		No Welsh translation found
page.tcs.workandhours.deductions.partner.maternityAmount.helptext1	You can take off up to &pound;100 a week.		No Welsh translation found
page.tcs.wtc.ctc-payments.your-tax-credits-payment.ftnae.p3.link	update their details now		No Welsh translation found
page.tcs.children.changeachilddob.dateofbirth-hint	For example, 31 03 2000		No Welsh translation found
page.tcs.workandhours.endedajob.totalWeeklyHours.errorInvalid	How many hours worked in a week in all jobs including self-employment must be a whole number		No Welsh translation found
page.tcs.workandhours.howmanyhours.previous.partner.validation	How many hours a week they worked must be between 1 and 99		No Welsh translation found
page.tcs.changes_other.li3	living abroad or left the UK		No Welsh translation found
page.tcs.workandhours.self-employed-summary.partner.edit-hours	how many self‑employed hours a week {0} normally works		No Welsh translation found
page.children.cannot-change.pip	Personal Independence Payment		No Welsh translation found
page.tcs.children.education.supervisedformorethan12hours	Will they study for 12 hours or more a week?		No Welsh translation found
page.tcs.renewals.children.add-a-child.error-does-child-live-with-you	Select does the child live with you		No Welsh translation found
dashboard.account-summary.view.accessable1	View and change		No Welsh translation found
page.tcs.childcare.short.term.calculation.summary.how-much-you-pay-edit	how much you normally pay {0} {1}		No Welsh translation found
